state_code,start_s,end_s,dur_s
0,0,212,213
1,213,242,30
15,243,243,1
1,244,258,15
15,259,259,1
1,260,271,12
15,272,272,1
1,273,289,17
15,290,290,1
1,291,304,14
15,305,307,3
1,308,322,15
15,323,324,2
1,325,333,9
15,334,334,1
1,335,342,8
15,343,343,1
1,344,350,7
15,351,352,2
1,353,372,20
15,373,378,6
1,379,406,28
15,407,408,2
1,409,429,21
15,430,436,7
1,437,457,21
15,458,459,2
1,460,484,25
15,485,487,3
1,488,503,16
0,504,618,115
1,619,647,29
15,648,649,2
1,650,653,4
0,654,944,291
1,945,949,5
15,950,951,2
1,952,982,31
15,983,984,2
1,985,994,10
15,995,996,2
1,997,999,3
15,1000,1001,2
1,1002,1058,57
15,1059,1061,3
1,1062,1069,8
15,1070,1071,2
1,1072,1082,11
15,1083,1084,2
1,1085,1115,31
15,1116,1117,2
1,1118,1130,13
15,1131,1131,1
1,1132,1159,28
15,1160,1160,1
1,1161,1192,32
15,1193,1195,3
1,1196,1220,25
15,1221,1224,4
1,1225,1250,26
15,1251,1253,3
1,1254,1299,46
15,1300,1309,10
1,1310,1330,21
15,1331,1336,6
1,1337,1350,14
15,1351,1351,1
1,1352,1368,17
15,1369,1369,1
1,1370,1394,25
15,1395,1398,4
1,1399,1404,6
0,1405,1436,32
1,1437,1450,14
15,1451,1451,1
1,1452,1468,17
15,1469,1469,1
1,1470,1478,9
15,1479,1479,1
1,1480,1484,5
15,1485,1485,1
1,1486,1507,22
15,1508,1508,1
1,1509,1529,21
15,1530,1530,1
1,1531,1542,12
15,1543,1543,1
1,1544,1553,10
15,1554,1554,1
1,1555,1571,17
15,1572,1572,1
1,1573,1582,10
15,1583,1583,1
1,1584,1602,19
15,1603,1603,1
1,1604,1617,14
15,1618,1618,1
1,1619,1630,12
15,1631,1631,1
1,1632,1649,18
15,1650,1650,1
1,1651,1666,16
15,1667,1667,1
1,1668,1676,9
15,1677,1677,1
1,1678,1683,6
15,1684,1684,1
1,1685,1693,9
15,1694,1694,1
1,1695,1700,6
15,1701,1701,1
1,1702,1704,3
15,1705,1705,1
1,1706,1715,10
15,1716,1716,1
1,1717,1722,6
15,1723,1723,1
1,1724,1734,11
15,1735,1736,2
1,1737,1746,10
15,1747,1747,1
1,1748,1757,10
15,1758,1758,1
1,1759,1775,17
15,1776,1776,1
1,1777,1818,42
15,1819,1820,2
1,1821,1838,18
15,1839,1840,2
1,1841,1852,12
15,1853,1853,1
1,1854,1897,44
15,1898,1899,2
1,1900,1931,32
15,1932,1936,5
1,1937,1971,35
15,1972,1985,14
1,1986,1998,13
15,1999,2000,2
1,2001,2023,23
15,2024,2026,3
1,2027,2038,12
15,2039,2041,3
1,2042,2057,16
15,2058,2059,2
1,2060,2072,13
15,2073,2074,2
1,2075,2097,23
0,2098,2945,848
1,2946,3033,88
15,3034,3039,6
1,3040,3082,43
15,3083,3091,9
1,3092,3150,59
15,3151,3154,4
1,3155,3192,38
15,3193,3194,2
1,3195,3207,13
2,3208,3216,9
15,3217,3229,13
1,3230,3236,7
15,3237,3243,7
1,3244,3264,21
15,3265,3266,2
1,3267,3290,24
0,3291,3497,207
1,3498,3533,36
0,3534,3567,34
1,3568,3625,58
0,3626,3715,90
1,3716,3772,57
15,3773,3775,3
1,3776,3819,44
0,3820,3882,63
1,3883,3943,61
0,3944,4321,378
1,4322,4333,12
15,4334,4335,2
1,4336,4347,12
15,4348,4348,1
1,4349,4361,13
15,4362,4363,2
1,4364,4374,11
15,4375,4375,1
1,4376,4390,15
15,4391,4393,3
1,4394,4404,11
15,4405,4405,1
1,4406,4413,8
15,4414,4415,2
1,4416,4425,10
15,4426,4427,2
1,4428,4437,10
15,4438,4438,1
1,4439,4449,11
15,4450,4450,1
1,4451,4460,10
15,4461,4461,1
1,4462,4474,13
15,4475,4476,2
1,4477,4490,14
15,4491,4492,2
1,4493,4508,16
15,4509,4510,2
1,4511,4529,19
15,4530,4530,1
1,4531,4550,20
15,4551,4552,2
1,4553,4563,11
15,4564,4564,1
1,4565,4576,12
15,4577,4577,1
1,4578,4625,48
15,4626,4629,4
1,4630,4675,46
15,4676,4683,8
1,4684,4735,52
15,4736,4737,2
1,4738,4753,16
0,4754,4774,21
1,4775,4807,33
15,4808,4811,4
1,4812,4833,22
15,4834,4839,6
1,4840,4874,35
15,4875,4876,2
1,4877,4902,26
15,4903,4906,4
1,4907,4921,15
2,4922,4996,75
0,4997,5022,26
1,5023,5073,51
15,5074,5076,3
1,5077,5100,24
15,5101,5112,12
1,5113,5135,23
15,5136,5139,4
1,5140,5164,25
15,5165,5173,9
1,5174,5203,30
0,5204,5241,38
1,5242,5264,23
15,5265,5266,2
1,5267,5314,48
15,5315,5318,4
1,5319,5374,56
15,5375,5377,3
1,5378,5401,24
15,5402,5404,3
1,5405,5427,23
15,5428,5436,9
1,5437,5477,41
15,5478,5480,3
1,5481,5510,30
2,5511,5580,70
0,5581,5921,341
1,5922,5954,33
15,5955,5957,3
1,5958,6013,56
15,6014,6016,3
1,6017,6073,57
15,6074,6075,2
1,6076,6128,53
15,6129,6131,3
1,6132,6152,21
15,6153,6155,3
1,6156,6184,29
15,6185,6188,4
1,6189,6244,56
15,6245,6259,15
1,6260,6297,38
15,6298,6302,5
1,6303,6369,67
15,6370,6371,2
1,6372,6411,40
15,6412,6413,2
1,6414,6429,16
0,6430,6464,35
1,6465,6512,48
0,6513,6528,16
1,6529,6601,73
2,6602,6728,127
0,6729,6980,252
1,6981,7075,95
0,7076,7095,20
1,7096,7147,52
15,7148,7150,3
1,7151,7190,40
0,7191,7261,71
1,7262,7408,147
0,7409,7442,34
1,7443,7512,70
15,7513,7517,5
1,7518,7581,64
0,7582,7599,18
1,7600,7614,15
15,7615,7617,3
1,7618,7686,69
15,7687,7691,5
1,7692,7725,34
2,7726,7771,46
0,7772,7801,30
1,7802,7862,61
15,7863,7868,6
1,7869,7914,46
15,7915,7922,8
1,7923,7945,23
15,7946,7948,3
1,7949,7997,49
2,7998,8087,90
0,8088,12024,3937
1,12025,12097,73
15,12098,12105,8
1,12106,12154,49
15,12155,12164,10
1,12165,12239,75
15,12240,12246,7
1,12247,12266,20
0,12267,12560,294
1,12561,12708,148
15,12709,12716,8
1,12717,12770,54
15,12771,12780,10
1,12781,12840,60
0,12841,13060,220
1,13061,13098,38
15,13099,13105,7
1,13106,13328,223
15,13329,13335,7
1,13336,13376,41
0,13377,13475,99
1,13476,13675,200
15,13676,13687,12
1,13688,13852,165
0,13853,13875,23
1,13876,13971,96
0,13972,14016,45
1,14017,14105,89
15,14106,14114,9
1,14115,14211,97
0,14212,14241,30
1,14242,14396,155
0,14397,14476,80
1,14477,14554,78
15,14555,14560,6
1,14561,14657,97
15,14658,14664,7
1,14665,14707,43
2,14708,14816,109
0,14817,14835,19
1,14836,14902,67
15,14903,14910,8
1,14911,14942,32
15,14943,14946,4
1,14947,15057,111
15,15058,15064,7
1,15065,15099,35
15,15100,15105,6
1,15106,15197,92
2,15198,15218,21
0,15219,16367,1149
1,16368,16458,91
0,16459,16500,42
1,16501,16560,60
15,16561,16568,8
1,16569,16705,137
15,16706,16720,15
1,16721,16798,78
15,16799,16812,14
1,16813,16926,114
15,16927,16941,15
1,16942,17014,73
15,17015,17027,13
1,17028,17101,74
2,17102,17129,28
1,17130,17130,1
15,17131,17142,12
1,17143,17259,117
0,17260,17282,23
1,17283,17460,178
0,17461,17619,159
1,17620,17781,162
15,17782,17791,10
1,17792,17855,64
15,17856,17865,10
1,17866,17909,44
0,17910,17927,18
1,17928,18031,104
2,18032,18068,37
0,18069,18216,148
1,18217,18335,119
0,18336,18406,71
1,18407,18504,98
15,18505,18516,12
1,18517,18576,60
2,18577,18701,125
0,18702,18925,224
1,18926,19013,88
0,19014,19036,23
1,19037,19085,49
15,19086,19093,8
1,19094,19212,119
2,19213,19331,119
0,19332,19409,78
1,19410,19569,160
0,19570,19600,31
1,19601,19699,99
0,19700,19717,18
1,19718,19786,69
15,19787,19797,11
1,19798,19836,39
15,19837,19846,10
1,19847,19891,45
0,19892,19930,39
1,19931,20002,72
15,20003,20015,13
1,20016,20142,127
15,20143,20153,11
1,20154,20289,136
0,20290,20308,19
1,20309,20416,108
15,20417,20424,8
1,20425,20599,175
2,20600,20764,165
0,20765,21612,848
